country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","02-07-2026 14:00:00",16.316553,80.413302,PM2.5,68,79,71
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","02-07-2026 14:00:00",16.316553,80.413302,PM10,64,75,70
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","02-07-2026 14:00:00",16.316553,80.413302,NO2,18,61,30
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","02-07-2026 14:00:00",14.465052,78.824187,SO2,8,16,15
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","02-07-2026 14:00:00",16.186555,81.13219,PM2.5,54,336,92
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","02-07-2026 14:00:00",16.186555,81.13219,NO2,16,33,21
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","02-07-2026 14:00:00",16.186555,81.13219,NH3,4,5,4
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","02-07-2026 14:00:00",14.438164,79.966814,NO2,24,33,28
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","02-07-2026 14:00:00",14.438164,79.966814,OZONE,28,34,31
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","02-07-2026 14:00:00",16.9872867,81.7363176,PM2.5,4,19,10
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","02-07-2026 14:00:00",16.9872867,81.7363176,OZONE,5,15,9
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","02-07-2026 14:00:00",13.67,79.35,PM10,11,33,19
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","02-07-2026 14:00:00",16.536107,80.594233,NH3,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","02-07-2026 14:00:00",16.536107,80.594233,OZONE,22,34,27
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","02-07-2026 14:00:00",16.554731,80.64911,NH3,3,6,4
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","02-07-2026 14:00:00",16.554731,80.64911,CO,17,28,23
India,"Andhra Pradesh",Vijayawada,"Kanuru, Vijayawada - APPCB","02-07-2026 14:00:00",16.486692,80.699436,PM2.5,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","02-07-2026 14:00:00",16.509717,80.612222,OZONE,37,49,43
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","02-07-2026 14:00:00",25.56752,83.966379,NH3,3,3,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","02-07-2026 14:00:00",25.56752,83.966379,SO2,27,32,29
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","02-07-2026 14:00:00",24.792403,84.992416,OZONE,27,61,48
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","02-07-2026 14:00:00",24.7955,84.9994,NH3,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","02-07-2026 14:00:00",24.762518,84.982348,NH3,4,6,5
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","02-07-2026 14:00:00",24.762518,84.982348,SO2,8,9,8
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","02-07-2026 14:00:00",25.697189,85.2459,PM2.5,40,109,76
